Years_Since_1961,India Population (Millions),India Growth Rate (%),Birth Rate (per 1000),Death Rate (per 1000),World Population (Millions),World Growth Rate (%),Pop_Growth_Abs,Pop_Rolling_3yr,Pop_Rolling_5yr,Growth_Rate_Change,Natural_Increase_Rate,Birth_Rate_Trend,Death_Rate_Trend,World_Pop_Ratio,India_World_Growth_Diff,Urbanization_Rate,Urban_Pop_Millions,Rural_Pop_Millions,Urban_Rural_Ratio,Urb_Rate_Change,Infra_Pressure_Score,School_Pressure,Hospital_Pressure,Road_Pressure,Year
41,1093.32,1.7,25.5,8.4,6273.0,1.28,18.319999999999936,1074.9666666666665,1056.488,-0.040000000000000036,17.1,25.933333333333334,8.566666666666665,0.17428981348637015,0.41999999999999993,28.145,307.71491399999996,785.605086,0.39119364910895066,0.33500000000000085,75.89072856124919,62.400642313008184,56.160578081707364,78.46362520722543,2002
42,1111.52,1.67,25.0,8.3,6352.0,1.26,18.200000000000045,1093.28,1074.896,-0.030000000000000027,16.7,25.46666666666667,8.433333333333335,0.1749874055415617,0.4099999999999999,28.48,316.560896,794.959104,0.3977100009399478,0.33500000000000085,76.62231427069318,64.19449413355827,57.77504472020244,79.76977343351919,2003
43,1129.62,1.63,24.6,8.2,6432.0,1.25,18.09999999999991,1111.4866666666667,1093.208,-0.040000000000000036,16.400000000000002,25.03333333333333,8.299999999999999,0.17562499999999998,0.3799999999999999,28.814999999999998,325.50000299999994,804.119997,0.4042875648510317,0.3349999999999973,77.26817201767712,66.00723051105052,59.40650745994547,81.06874502120695,2004
44,1147.61,1.59,24.1,8.1,6512.0,1.25,17.99000000000001,1129.5833333333333,1111.414,-0.039999999999999813,16.0,24.566666666666666,8.200000000000001,0.17623003685503685,0.3400000000000001,29.15,334.5283149999999,813.081685,0.4109272093500051,0.33500000000000085,77.91268100679069,67.83805651970553,61.05425086773497,82.3598223064281,2005
45,1165.49,1.56,23.6,8.0,6593.0,1.24,17.88000000000011,1147.573333333333,1129.512,-0.030000000000000027,15.600000000000001,24.099999999999998,8.1,0.17677688457454876,0.32000000000000006,29.485,343.64472649999993,821.8452735000001,0.41762982369491597,0.33500000000000085,78.64056458262205,69.68674797828623,62.71807318045761,83.64300528918265,2006
46,1183.21,1.52,23.0,7.8,6674.0,1.24,17.720000000000027,1165.4366666666665,1147.49,-0.040000000000000036,15.2,23.566666666666666,7.966666666666668,0.1772864848666467,0.28,29.82,352.83322200000003,830.3767780000001,0.4243962921947286,0.33500000000000085,79.28057111820429,71.55005714857296,64.39505143371566,84.91470565016758,2007
47,1200.67,1.48,22.4,7.7,6757.0,1.24,17.460000000000036,1183.1233333333332,1165.3200000000002,-0.040000000000000036,14.7,23.0,7.833333333333333,0.17769276306052983,0.24,30.155,362.0620385,838.6079615000001,0.431227495572051,0.33500000000000085,79.91393160785961,73.42154290109286,66.07938861098357,86.16774675077687,2008
48,1217.73,1.42,21.8,7.6,6840.0,1.22,17.059999999999945,1200.5366666666669,1182.942,-0.06000000000000005,14.200000000000001,22.400000000000002,7.7,0.17803070175438596,0.19999999999999996,30.49,371.28587699999997,846.444123,0.43812431630964294,0.3349999999999973,80.36621700285907,75.2920191789877,67.76281726108893,87.39208129696212,2009
49,1234.28,1.36,21.1,7.5,6922.0,1.2,16.549999999999955,1217.5600000000002,1200.2760000000003,-0.05999999999999983,13.600000000000001,21.76666666666667,7.599999999999999,0.17831262640855244,0.16000000000000014,30.825,380.46680999999995,853.8131900000001,0.44508766880398737,0.33500000000000085,80.80299198653005,77.1537947711603,69.43841529404428,88.57981498625674,2010
50,1250.29,1.3,20.5,7.4,7004.0,1.18,16.00999999999999,1234.1000000000001,1217.236,-0.06000000000000005,13.1,21.133333333333333,7.5,0.17851085094231867,0.1200000000000001,31.16,389.59036399999997,860.699636,0.4521185198690277,0.33500000000000085,81.22310185820234,79.00393463723589,71.1035411735123,89.72879482707889,2011
